"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Checkout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -217, -1, -6, -224
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -99, 0, -7, -106
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -130, 0, -8, -138
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -33, 0, -3, -36
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderProcess.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -60, 0, -3, -63
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -25, 0, -4, -29
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Personal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -5, 0, -3, -8
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\PreviousOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -5, 0, -3, -8
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -124, -1, -14, -139
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -163, 0, -8, -171
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\User.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -38, 0, -5, -43
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 21, 47
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\data\data.json", "JSON", 0, 869, 0, 0, 0, 0, 0, 0, 869
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\package-lock.json", "JSON", 0, 17253, 0, 0, 0, 0, 0, 1, 17254
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\public\index.html", "HTML", 0, 0, 0, 21, 0, 0, 23, 1, 45
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\App.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 11, 138
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\app\store.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Button1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Button2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ButtonPrimary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Carousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 11, 106
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Filters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 151, 19, 5, 175
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Heart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Image.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 3, 30
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ProductImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 6, 5, 67
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ProductImages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 7, 14, 100
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Protected.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Rating.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 4, 45
