Date : 2024-07-04 08:47:48
Directory : c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src
Total : 78 files,  4336 codes, 41 comments, 376 blanks, all 4753 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\PreviousOrder.jsx                               | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Products.jsx                                    | JavaScript JSX |        124 |          1 |         14 |        139 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Profile.jsx                                     | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Settings.jsx                                    | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Signup.jsx                                      | JavaScript JSX |        163 |          0 |          8 |        171 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\UpdatePersonal.jsx                              | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\User.jsx                                        | JavaScript JSX |         44 |          0 |          5 |         49 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\UserProducts.jsx                                | JavaScript JSX |          7 |          0 |          3 |         10 |
| Total                                                                                                             |                |      4,336 |         41 |        376 |      4,753 |
+-------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
